username, date, retweets, text, id, permalink,,,,
nashiraprime,5/7/11 19:01,0,Bossypants . Mi Kindle baila. http://amzn.com/k/KM96SNGF5N07 #Kindle,6.70011E+16,https://twitter.com/nashiraprime/status/67001127006248960,,,,
RachelGillman,5/7/11 18:52,0,"Laughing out loud while reading Bossypants ...wish @tinafey needed a side kick, new best friend or even a babysitter",6.69989E+16,https://twitter.com/RachelGillman/status/66998885960269824,,,,
Mizgibson,5/7/11 18:46,0,"Got Tina Fey's Bossypants as an early birthday present from my mom! Yeah, mom's #coollikethat",6.69973E+16,https://twitter.com/Mizgibson/status/66997274672238592,,,,
AndyDavid14,5/7/11 18:43,0,Hopefully we made our last gas-stop and we've almost completed #TinaFey #Bossypants on audiobook... #tourtalk material,6.69966E+16,https://twitter.com/AndyDavid14/status/66996578916892672,,,,
absterfabster,5/7/11 18:41,0,"@hanglikeabat Now that the semester is over, I can read Bossypants ! It's so funny! have you read it yet? She has a great cruise story",6.6996E+16,https://twitter.com/absterfabster/status/66996004469227520,,,,
katgordon,5/7/11 18:35,1,"Previous tweet quote from Tina Fey's  Bossypants .""""",6.69946E+16,https://twitter.com/katgordon/status/66994597183750144,,,,
ajtelfer,5/7/11 18:30,0,Oh @chaptersindigo you are no good for me. Just bought #bossypants and #divergent .,6.69934E+16,https://twitter.com/ajtelfer/status/66993448435200001,,,,
nashiraprime,5/7/11 18:29,1,"Y ahora, Bossypants y un buen espresso. Pelear por los resultados es para los perdedores o para los que creen en la lucha.",6.69932E+16,https://twitter.com/nashiraprime/status/66993153567232000,,,,
peteramescarlin,5/7/11 18:27,0,@nprmonkeysee Mean reviews of ' Bossypants ' simple criticism physics. Wave of praise creates as much negative energy. Narrative must change.,6.69925E+16,https://twitter.com/peteramescarlin/status/66992539638566912,,,,
kshelbypearson,5/7/11 18:24,0,Reading Tiny Fey's Bossypants & hoping to get some tips on how to be a little bit bossier & really successful. So far it's just super funny.,6.69919E+16,https://twitter.com/kshelbypearson/status/66991924367724544,,,,
_AllThatJaz,5/7/11 18:20,0,Um. I have a 20 dollar credit to get an audiobook. What do I buy? (already have Bossypants ),6.69909E+16,https://twitter.com/_AllThatJaz/status/66990884876582914,,,,
exmyspaceceleb,5/7/11 18:11,0,@chemasolari esta increible el bossypants ya casi lo acabo si quoeres te lo presto,6.69886E+16,https://twitter.com/exmyspaceceleb/status/66988591464714240,,,,
AnnaHolmes,5/7/11 18:08,0,"@nprmonkeysee Gotcha. Anyway, question of whether Bossypants is memoir is interesting one. In some ways, publisher positioned it as such.",6.69878E+16,https://twitter.com/AnnaHolmes/status/66987788708491264,,,,
emilynussbaum,5/7/11 18:04,0,@ChrisSerico Fey's Bossypants ! Can't find the link tho.,6.69869E+16,https://twitter.com/emilynussbaum/status/66986883862904832,,,,
javachik,5/7/11 18:02,0,"EXACTLY! RT @thebestjasmine RT @nprmonkeysee : Mean reviews of  Bossypants "" based on the notion that it's meant to b... http://tl.gd/aap4e8""",6.69864E+16,https://twitter.com/javachik/status/66986374003306496,,,,
angelamromack,5/7/11 17:55,0,"You know who does have a funny bone in her body? Your mom every night for a dollar."" #Bossypants""",6.69845E+16,https://twitter.com/angelamromack/status/66984471471210497,,,,
Twohungrypandas,5/7/11 17:52,0,"Table for 1. Belgium white ale, croque, iPad reading bossypants . Chillaxing :) (@Prepkitchen Del Mar) http://4sq.com/mkXtWb",6.69838E+16,https://twitter.com/Twohungrypandas/status/66983844074631168,,,,
dmwprgirl,5/7/11 17:52,0,"If you haven't read @TinaFey 's book  Bossypants "" YOU MUST! Hysterical", witty," great read.""",6.69838E+16,https://twitter.com/dmwprgirl/status/66983800697135104,,
BabySnooks,5/7/11 17:43,0,"RT @Global_TV : Don't miss Bossypants herself, as Tina Fey hosts Saturday Night Live tonight at 11:30 et/pt http://glbl.tv/mnSzEG",6.69814E+16,https://twitter.com/BabySnooks/status/66981416805740544,,,,
chemasolari,5/7/11 17:35,1,"Muero por leer  Bossypants "" (la autobiografÃ_a de Tina Fey).""",6.69795E+16,https://twitter.com/chemasolari/status/66979543830892545,,,,
suzieqjenny,5/7/11 17:34,0,"On page 77 of 280 of Bossypants , by Tina Fey http://goodreads.com/user_status/show/6128971",6.69791E+16,https://twitter.com/suzieqjenny/status/66979149142691840,,,,
AnneMarieHoward,5/7/11 17:33,0,Reading Bossypants . Very funny stuff. Love Tina Fey!,6.69789E+16,https://twitter.com/AnneMarieHoward/status/66978945186275328,,,,
CWanderlust,5/7/11 17:32,0,@ebertchicago I read Bossypants and was left with the same opinion as the writer of that review. It was full of voids.,6.69789E+16,https://twitter.com/CWanderlust/status/66978860373258241,,,,
b_tay,5/7/11 17:32,0,: a pedicure and Bossypants on audio. Here's hoping my future children will know what I like come Mother's Day.,6.69788E+16,https://twitter.com/b_tay/status/66978787866312704,,,,
VHS216,5/7/11 17:32,0,Wouldn't be the wknd without Kaffe. Reading Bossypants . (@Kaffe 1668 w/ 3 others) http://4sq.com/kIYSSX,6.69788E+16,https://twitter.com/VHS216/status/66978754081202177,,,,
cruises_greek,5/7/11 17:28,0,"Web3 new results for cruises"" ""Greek"" Bossypants : Greek Cruises: News2Greek Cruises: News2. Greek Cruises: News... http://bit.ly/lmaube""",6.69777E+16,https://twitter.com/cruises_greek/status/66977663574745088,,,,
plumqueen82,5/7/11 17:25,0,Finally reading Bossypants by @TinaFey123 . Thoroughly entertained so far. #readingasfastasican,6.6977E+16,https://twitter.com/plumqueen82/status/66977003735224320,,,,
Global_TV,5/7/11 17:25,1,"Don't miss Bossypants herself, as Tina Fey hosts Saturday Night Live tonight at 11:30 et/pt http://glbl.tv/mnSzEG",6.69769E+16,https://twitter.com/Global_TV/status/66976861024026624,,,,
Maarten_Bloem,5/7/11 17:24,0,Bossypants by Tina Fey: review - Telegraph http://www.telegraph.co.uk/culture/8495384/Bossypants-by-Tina-Fey-review.html #ditboekslaanweover,6.69768E+16,https://twitter.com/Maarten_Bloem/status/66976837837918208,,,,
celeb_mattters,5/7/11 17:24,0,The #Celebrities Channel: Bossypants by Tina Fey: review - Telegraph http://bit.ly/jSsjel,6.69766E+16,https://twitter.com/celeb_mattters/status/66976625752944640,,,,
Leask,5/7/11 17:23,0,"I am going to buy a copy of Tina Fey's  Bossypants "" just to say"," ""Fuck you"" to this asshole reviewer: http://bit.ly/iVWYDd""",6.69764E+16,https://twitter.com/Leask/status/66976446714875904,,,
jess_incognita,5/7/11 17:19,0,5 of 5 stars to Bossypants by Tina Fey http://www.goodreads.com/review/show/138430846,6.69756E+16,https://twitter.com/jess_incognita/status/66975590258974720,,,,
Paisano,5/7/11 17:19,0,#ouch . Bossypants by Tina Fey: review - Telegraph http://bit.ly/mjnpCn,6.69755E+16,https://twitter.com/Paisano/status/66975540199948288,,,,
BriannaVax,5/7/11 17:18,0,@lespwameanshope I looked just to make sure you actually tweeted about bossypants . And you did. So I'm proud.,6.69753E+16,https://twitter.com/BriannaVax/status/66975283625996288,,,,
nonmatingpanda,5/7/11 17:17,0,The British don't really get comedy anyway. Bossypants by Tina Fey: review - Telegraph http://www. telegraph.co.uk/culture/849538 4/Bossypants-by-Tina-Fey-review.html â€_ via @Telegraph,6.69751E+16,https://twitter.com/nonmatingpanda/status/66975063777361920,,,,
GwydionS,5/7/11 17:16,0,@dloehr channeling Tina Fey at #TEDxMiAv SUCH A BOSSYPANTS !,6.69748E+16,https://twitter.com/GwydionS/status/66974768859070465,,,,
billbarol,5/7/11 17:15,0,"@phil_rosenthal Yeah, except she's not entirely wrong. Cruel, yes; wrong, no.  Bossypants "" is a very"," very entertaining mess.""",6.69745E+16,https://twitter.com/billbarol/status/66974496669704192,,,
ginamarieodell,5/7/11 17:14,0,"@leaderlifter - my daughter just called me bossypants "" Katie - ""no you just called yourself that!""""",6.69742E+16,https://twitter.com/ginamarieodell/status/66974152334123008,,,,
daydreamblog,5/7/11 17:13,0,Finally reading Bossypants by @nottinafey,6.69739E+16,https://twitter.com/daydreamblog/status/66973944401510400,,,,
TheJaimeH,5/7/11 17:12,0,"Currently read  Bossypants "" by Tina Fey. The woman is funny"," and this book is very enjoyable!""",6.69738E+16,https://twitter.com/TheJaimeH/status/66973774129545216,,,
AuthorJHorio,5/7/11 17:12,0,"Currently read  Bossypants "" by Tina Fey. The woman is funny"," and this book is very enjoyable!""",6.69738E+16,https://twitter.com/AuthorJHorio/status/66973772766388226,,,
Evanduvall,5/7/11 17:11,0,"Just finished the bossypants audio book, very good, totally love Tina Fey <3",6.69733E+16,https://twitter.com/Evanduvall/status/66973332985217024,,,,
fra3lap,5/7/11 17:08,0,Bossypants by Tina Fey http:// bit.ly/k3bnhz #book #ebook,6.69728E+16,https://twitter.com/fra3lap/status/66972797435527168,,,,
jessewalker,5/7/11 17:06,0,dayum... Bossypants by Tina Fey: review - Telegraph http://www. telegraph.co.uk/culture/849538 4/Bossypants-by-Tina-Fey-review.html â€_ via @Telegraph,6.69721E+16,https://twitter.com/jessewalker/status/66972131786891264,,,,
LoudMouthBitch,5/7/11 17:05,0,@ebertchicago Ouch - someone had an extra helping of Carnation Instant Bitch this morning... BossyPants was an hysterical read!,6.6972E+16,https://twitter.com/LoudMouthBitch/status/66971994599600128,,,,
hayley_g,5/7/11 17:05,0,"@ebertchicago What was that lady expecting? Freaking Valley of the Dolls? I'm halfway through Bossypants , and I love it. Oh well...",6.69718E+16,https://twitter.com/hayley_g/status/66971820330463232,,,,
onlydeals4me,5/7/11 17:02,0,#7: Bossypants http://p.ost.im/p/veU8V,6.69711E+16,https://twitter.com/onlydeals4me/status/66971091171676161,,,,
kdwald,5/7/11 16:56,0,@RandomHandprint I just bought that! Just the jacket makes it worth the buy. #bossypants #tinafeyismygeek,6.69697E+16,https://twitter.com/kdwald/status/66969668379885568,,,,
Anabelle_Anas,5/7/11 16:55,0,#5: Bossypants http://amzn.to/l3DRjw,6.69694E+16,https://twitter.com/Anabelle_Anas/status/66969396760936448,,,,
KassandraRyan,5/7/11 16:53,0,I'm digging it RT @HannahCorrier Bossypants has me wearing Wetpants. #laughterpee #forreal,6.6969E+16,https://twitter.com/KassandraRyan/status/66968998801186816,,,,
Anna_Sandler,5/7/11 16:53,0,On quiet car in train finally getting to read bossypants,6.69688E+16,https://twitter.com/Anna_Sandler/status/66968809667432448,,,,
4elsaseliversto,5/7/11 16:52,0,Bossypants by Tina Fey http:// bit.ly/k3bnhz #book #ebook,6.69688E+16,https://twitter.com/4elsaseliversto/status/66968769767018496,,,,
elethi12markov,5/7/11 16:52,0,Bossypants by Tina Fey http:// bit.ly/k3bnhz #book #ebook,6.69687E+16,https://twitter.com/elethi12markov/status/66968748665483264,,,,
kapustinjady,5/7/11 16:52,0,Bossypants by Tina Fey http:// bit.ly/k3bnhz #book #ebook,6.69687E+16,https://twitter.com/kapustinjady/status/66968725009604610,,,,
Manu_V,5/7/11 16:52,0,Tina Fey termina casi todos los pÃ¡rrafos en Bossypants con un chiste.,6.69686E+16,https://twitter.com/Manu_V/status/66968584320057344,,,,
CAttsuper,5/7/11 16:45,0,I have read 1 page and im lolzing already #bossypants,6.69669E+16,https://twitter.com/CAttsuper/status/66966869000720384,,,,
bookofwinner,5/7/11 16:29,0,#books #deals #store #1: Bossypants : Bossypants Tina Fey (Author) 38 days in the top 100 (187)Download: $12.99... http://bit.ly/cT1CTm,6.6963E+16,https://twitter.com/bookofwinner/status/66962978020397056,,,,
bookofwinner,5/7/11 16:24,0,#entertainment #hot #1: Bossypants : Bossypants Tina Fey (Author) (187)Download: $12.99 2 used & new from $9.99(... http://bit.ly/cGIedd,6.69616E+16,https://twitter.com/bookofwinner/status/66961613235830784,,,,
pyt713,5/7/11 16:19,0,"@charles270 Bossypants is hilarious! Man, I have to work tomor :( I might try to hang tho",6.69604E+16,https://twitter.com/pyt713/status/66960407209840640,,,,
Piscesboy69,5/7/11 16:18,0,"@EAmurri Read  Bossypants ."" Was underwhelmed.""",6.69602E+16,https://twitter.com/Piscesboy69/status/66960151818665985,,,,
MichelleRakos,5/7/11 16:15,0,I am reading Bossypants http://bit.ly/lGIvU8 @GetGlue #Bossypants,6.69594E+16,https://twitter.com/MichelleRakos/status/66959445527236610,,,,
jillsmo,5/7/11 16:11,0,"Just corrected the boy: that's MS. Bossypants """"",6.69585E+16,https://twitter.com/jillsmo/status/66958459115020288,,,,
KatySayCats,5/7/11 16:07,0,So excited to get my reading on #nerd #bossypants http:// yfrog.com/h3nmmmyj,6.69574E+16,https://twitter.com/KatySayCats/status/66957440469573632,,,,
edieramer,5/7/11 16:06,0,@FrugaleReader I finished Bossypants by Tina Fey. I liked it a lot. It's interesting and her voice is very easy to read.,6.69571E+16,https://twitter.com/edieramer/status/66957144385257472,,,,
korbykorby,5/7/11 16:04,0,"Coming home a day early. Listening to #bossypants on tape. Is it even possible to not like Tina Fey? No, it is not",6.69567E+16,https://twitter.com/korbykorby/status/66956665483829249,,,,
RachOfMotion,5/7/11 15:54,0,"I've finished Bossypants by Tina Fey. Borrow it from me. Like many scientologists, I'm always looking to spread the unbelievably hilarious.",6.69541E+16,https://twitter.com/RachOfMotion/status/66954068437901312,,,,
amerika108,5/7/11 15:53,0,"About to buy Bossypants . I haven't bought a book in awhile, but I'm sure this one will be worth it!",6.69539E+16,https://twitter.com/amerika108/status/66953938527723520,,,,
cameronarksey,5/7/11 15:48,0,@charkk : omg $30? @cameronarksey : you watch her show for free - you owe her. #bossypants,6.69526E+16,https://twitter.com/cameronarksey/status/66952609122107393,,,,
riskeypb,5/7/11 15:46,0,#7: Bossypants top-sellers_books_books_0316056863,6.69522E+16,https://twitter.com/riskeypb/status/66952155252260865,,,,
jimkozyra,5/7/11 15:45,0,@wendimclendonco it's so good. ( #BOSSYPANTS . Not OC),6.69519E+16,https://twitter.com/jimkozyra/status/66951860187172864,,,,
GarMelanie,5/7/11 15:43,0,"Finished reading Tina Fey's Bossypants - Amazeballs!She's laugh-out-loud funny, smart & a Democrat who admits she'll be Republican someday.",6.69514E+16,https://twitter.com/GarMelanie/status/66951410574569472,,,,
abbyemcgee,5/7/11 15:43,0,Kids are sleeping. I'm laying on the couch reading Bossypants . Don't be so jealous of me.,6.69512E+16,https://twitter.com/abbyemcgee/status/66951240768176128,,,,
TrapdoorMall,5/7/11 15:41,0,#7: Bossypants : Bossypants by Tina Fey 46 days in the top 100 (186) Buyâ€_ http://goo.gl/fb/pmhUt http://tdm.lmsoc.com,6.69508E+16,https://twitter.com/TrapdoorMall/status/66950796301959168,,,,
kmacnaull,5/7/11 15:39,0,"@HanaAbaza I haven't started Bossypants yet, still trying to finish last month's book :) #bookclub",6.69504E+16,https://twitter.com/kmacnaull/status/66950406990856193,,,,
callmelisaj,5/7/11 15:31,0,reading Bossypants today. LOL'ing the whole time.,6.69482E+16,https://twitter.com/callmelisaj/status/66948215437660161,,,,
HauteCraigture,5/7/11 15:28,0,Thank God I illegally downloaded Bossypants .,6.69476E+16,https://twitter.com/HauteCraigture/status/66947576074747904,,,,
bookofwinner,5/7/11 15:28,0,#books #deals #store #1: Bossypants : Bossypants Tina Fey (Author) 38 days in the top 100 (186)Download: $12.99... http://bit.ly/cT1CTm,6.69475E+16,https://twitter.com/bookofwinner/status/66947510530355200,,,,
asmalltownmommy,5/7/11 15:27,0,Giveaway â€“ Bossypants by Tina Fey â€“ 2 Winners â€“ Ends 5/7/11 http://bit.ly/gtHMmi,6.69474E+16,https://twitter.com/asmalltownmommy/status/66947363792629761,,,,
bookofwinner,5/7/11 15:22,0,#entertainment #hot #1: Bossypants : Bossypants Tina Fey (Author) (186)Download: $12.99 2 used & new from $9.99(... http://bit.ly/cGIedd,6.69461E+16,https://twitter.com/bookofwinner/status/66946065982689280,,,,
slackferno,5/7/11 15:21,0,"Enjoying #Bossypants , especially chapter about unnamed Alaskan fameball.",6.69458E+16,https://twitter.com/slackferno/status/66945804581081088,,,,
wendimclendonco,5/7/11 15:21,0,Reading Tina Fey's book #BOSSYPANTS and loving it! It's the perfect antidote for my REAL HOUSEWIVES of OC obsession.,6.69457E+16,https://twitter.com/wendimclendonco/status/66945713396912129,,,,
CassieCallon,5/7/11 15:19,0,Loving #bossypants,6.69453E+16,https://twitter.com/CassieCallon/status/66945268154769408,,,,
Cineaste77,5/7/11 15:18,0,"Reading Tina Fey's  Bossypants ."" I don't want to keep reading","b/c at some point I'll reach the end & I never want to stop reading this book.""",6.69449E+16,https://twitter.com/Cineaste77/status/66944910036713472,,,
kvndvddmy,5/7/11 15:17,0,"You have a short vagina. I think I hit you in the cervix."" #bossypants""",6.69447E+16,https://twitter.com/kvndvddmy/status/66944737675984896,,,,
amzdealoftheday,5/7/11 15:16,0,Bestsellers Books #7: Bossypants http://goo.gl/fb/wpqJV,6.69445E+16,https://twitter.com/amzdealoftheday/status/66944504971796481,,,,
ashleyjayhaha,5/7/11 15:14,0,"87% done with Bossypants . I wish I could know the doneness percentage of paper books as I read them, it's like getting graded to read.",6.69441E+16,https://twitter.com/ashleyjayhaha/status/66944070651613184,,,,
bizpersonalloan,5/7/11 15:13,0,#7: Bossypants http://goo.gl/fb/tZKn7,6.69438E+16,https://twitter.com/bizpersonalloan/status/66943751246987264,,,,
katnagl,5/7/11 15:12,1,Bossypants and pool time @Solage Calistoga http://instagr.am/p/D-XUc/,6.69434E+16,https://twitter.com/katnagl/status/66943421587263488,,,,
RadioPaulo,5/7/11 15:11,0,Reading Tina Fey's autobiography #Bossypants . Is she on Twitter? I want to ask her if she'd like to come mountain-climbing tonight? î€‡î€‡,6.69433E+16,https://twitter.com/RadioPaulo/status/66943277785559040,,,,
annakimmm,5/7/11 15:09,0,#7: Bossypants http://goo.gl/fb/H9hP7,6.69427E+16,https://twitter.com/annakimmm/status/66942701068763137,,,,
SeeingHeartss,5/7/11 15:09,0,#7: Bossypants http://goo.gl/fb/AdA6v,6.69427E+16,https://twitter.com/SeeingHeartss/status/66942670064459776,,,,
RainbowCharades,5/7/11 15:09,0,"Book shopping at Borders! Any suggestions? One definite is Tina Fey's  Bossypants ""! :) Let me know what you've enjoyed reading!""",6.69426E+16,https://twitter.com/RainbowCharades/status/66942648149229568,,,,
ShaQualin,5/7/11 15:08,0,another item to my list of accepted graduation gifts : bossypants by tina fey :D,6.69424E+16,https://twitter.com/ShaQualin/status/66942407895293955,,,,
holidaygiftbuzz,5/7/11 15:00,0,Currently Buzzing #Bossypants (Audiobook #ChristmasGift #Christmas #books . http://www.holidaygiftbuzz.com/product/2833/books/,6.69404E+16,https://twitter.com/holidaygiftbuzz/status/66940374442184705,,,,
BookLover526,5/7/11 14:58,0,Bossypants ' by Tina Fey..Get it at Amazon #books http://amzn.to/ep5dEA,6.694E+16,https://twitter.com/BookLover526/status/66939967594696704,,,,
the_rur_jur,5/7/11 14:57,0,"@emilylandau Abra, Sonia and I are starting a book club! The Ladies Literary Society. Our first book is Bossypants , followed by some BSC.",6.69398E+16,https://twitter.com/the_rur_jur/status/66939770227535872,,,,
i_moneysign_la,5/7/11 14:55,0,"omg I can't wait. #bossypants  @sethmeyers21 : Tina Fey returns to SNL tonight! Don't miss the good times.""""",6.69392E+16,https://twitter.com/i_moneysign_la/status/66939229296529409,,,,
britticisms,5/7/11 14:48,0,Finished Bossypants . Loved Bossypants . Am now recommending you read Bossypants .,6.69375E+16,https://twitter.com/britticisms/status/66937516019826688,,,,
Parkergkrug,5/7/11 14:48,0,Gorgeous day. Poolside with @TinaFey123 's Bossypants ! #roughlife :),6.69374E+16,https://twitter.com/Parkergkrug/status/66937398797406208,,,,
ohdakuwaqa,5/7/11 14:43,0,Tina Fey's ' Bossypants ': Read It and Laugh | Women's Voices For Change http:// womensvoicesforchange.org/tina-feys-boss ypants-read-it-and-laugh.htm â€_ via @womensvoices,6.69361E+16,https://twitter.com/ohdakuwaqa/status/66936090388475904,,,,
rxJanan,5/7/11 14:39,0,"Reading Tina Fey's Bossypants on my Kindle en route to San Franciso, and it is hilarious! #summerbreak",6.69352E+16,https://twitter.com/rxJanan/status/66935193814052864,,,,
olivergajek,5/7/11 14:37,0,Tina Fey: Bossypants . Very funny.,6.69346E+16,https://twitter.com/olivergajek/status/66934598973661184,,,,
SophiaMcI,5/7/11 14:33,0,#Giveaway â€“ Bossypants by Tina Fey â€“ 2 Winners. US/Can http://sweeps4bloggers.com/?p=18387 Ends 5/7,6.69338E+16,https://twitter.com/SophiaMcI/status/66933756820324352,,,,
JackieSOK,5/7/11 14:32,0,Reading a sample of #Bossypants by Tina Fey on my Kindle. I've already laughed out loud several times! #tinafey,6.69334E+16,https://twitter.com/JackieSOK/status/66933357824589824,,,,
atxjenny,5/7/11 14:30,0,Reading #Tina fey's #bossypants and loving it. Even a #texaslonghorn reference on page 13,6.69329E+16,https://twitter.com/atxjenny/status/66932860086525953,,,,
mizhumblebumble,5/7/11 14:27,0,Reading and loving #bossypants by @tinafey,6.69321E+16,https://twitter.com/mizhumblebumble/status/66932130541879297,,,,
beccawilli,5/7/11 14:26,0,Bossypants by Tina Fey = best read of 2011 so far.,6.6932E+16,https://twitter.com/beccawilli/status/66932028129550336,,,,
DakotaWoodworth,5/7/11 14:24,0,Just bought Tina feys book #bossypants . Yay,6.69314E+16,https://twitter.com/DakotaWoodworth/status/66931449441427456,,,,
left_the_stars,5/7/11 14:20,0,Giveaway â€“ Bossypants by Tina Fey â€“ 2 Winners â€“ Ends 5/7/11 | Sweeps4Bloggers: http://sweeps4bloggers.com/?p=18387 @littlebrown,6.69305E+16,https://twitter.com/left_the_stars/status/66930529391476736,,,,
KikiRazzle,5/7/11 14:20,0,read bossypants by tina fey in two short 3 hour gramma like couch stints. i conquered that book! and now i will conquer fame! #conquerer,6.69303E+16,https://twitter.com/KikiRazzle/status/66930338231894016,,,,
Fiona_Bradley,5/7/11 14:15,0,"I read bossypants this weekend and I enjoyed it too much. Now, infinite jest #kindle",6.69292E+16,https://twitter.com/Fiona_Bradley/status/66929179341488128,,,,
MacBerry,5/7/11 14:13,0,I too enjoyed her book too RT @CdnMercedes: Just finished Bossypants . Hilarious and insightful. Recommend iâ€_ (cont) http://deck.ly/~uaWgb,6.69286E+16,https://twitter.com/MacBerry/status/66928644790042624,,,,
freeponies,5/7/11 14:11,0,"Speaking of #moms , mine sent me an article about Bossypants w/this note on top: You are MY Tina Fey! Love"," Mom"". Delusional"," but sweet.""",6.69281E+16,https://twitter.com/freeponies/status/66928111584935936,,
CTVMercedes,5/7/11 14:08,0,Just finished Bossypants . Hilarious and insightful. Recommend it as an entertaining read. Fey sometimes unexpectedly hits home w real depth.,6.69274E+16,https://twitter.com/CTVMercedes/status/66927433584087042,,,,
abebudicom,5/7/11 14:04,0,Bossypants http://p.ost.im/p/7gwgk,6.69264E+16,https://twitter.com/abebudicom/status/66926359003410432,,,,
Anabelle_Anas,5/7/11 14:01,0,#6: Bossypants http://amzn.to/kpZ5Hw,6.69257E+16,https://twitter.com/Anabelle_Anas/status/66925746257534976,,,,
deepa_k,5/7/11 14:00,0,"There is no one of woman-born who does not like Red Lobster cheddar biscuits."" -- truth nugget from Tina Fey's "" Bossypants "".""",6.69254E+16,https://twitter.com/deepa_k/status/66925438328520704,,,,
