username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
PoliticsProse;2016-10-18 16:30;2;2;"DC! Don't miss @Trevornoah at @SixthandI 11/19 7:30pm for a reading of his book, #BornACrime . Tickets http:// bit.ly/2dLXlpf pic.twitter.com/W4hU0ORfrx";;@Trevornoah @SixthandI;#BornACrime;"788477256398172160";https://twitter.com/PoliticsProse/status/788477256398172160
jowilanneson;2016-10-18 16:06;0;0;"Marked as to-read: Born a Crime by Trevor Noah https:// goodreads.com/review/show/17 88023379 …";;;;"788471264088297472";https://twitter.com/jowilanneson/status/788471264088297472
StanHack2;2016-10-18 12:33;0;0;"That's easy. He was born. A crime against humanity";;;;"788417822154252292";https://twitter.com/StanHack2/status/788417822154252292
randomhouse;2016-10-18 10:02;1;5;". @Trevornoah 's memoir BORN A CRIME tells of his unlikely path from apartheid South Africa to the desk of @TheDailyShow .Out 11/15 #BornACrime pic.twitter.com/u5fx93hGXi";;@Trevornoah @TheDailyShow;#BornACrime;"788379659297755136";https://twitter.com/randomhouse/status/788379659297755136
ashleyfnemeth;2016-10-18 08:52;0;0;"Just found out I won a copy of Trevor Noah's #BornACrime . Soooooo excited to get this!! #goodreadsgiveaway #newbooks";;;#BornACrime #goodreadsgiveaway #newbooks;"788362092642525184";https://twitter.com/ashleyfnemeth/status/788362092642525184
JMP_Publicity;2016-10-18 04:56;0;0;"It's happening people! @Trevornoah is coming to the UK in November, only 2 chances to see him, book now http:// bit.ly/1IJJ6us #BornaCrime";;@Trevornoah;#BornaCrime;"788302709891956738";https://twitter.com/JMP_Publicity/status/788302709891956738
BeckyAWalsh;2016-10-18 04:32;0;0;"You know you want to #bornacrime https:// twitter.com/Trevornoah/sta tus/788008567097946112 …";;;#bornacrime;"788296582756200448";https://twitter.com/BeckyAWalsh/status/788296582756200448
7VhvIahjN4usDv8;2016-10-18 00:35;0;0;"Born A Crime : Stories from a South African Childhood http:// amzn.to/2ebKD5l pic.twitter.com/5dFVqU4eER";;;;"788237003229921281";https://twitter.com/7VhvIahjN4usDv8/status/788237003229921281
george_mondlana;2016-10-17 21:17;0;0;"Can wait to get a copy of #bornacrime by @Trevornoah . I hear it won't disappoint. After all the men never does. Mfana wa kasi ya ka";;@Trevornoah;#bornacrime;"788187153423540224";https://twitter.com/george_mondlana/status/788187153423540224
paaaaaayyy;2016-10-17 20:59;0;0;"@Trevornoah Did you narrate the audiobook version of Born a Crime ?";;@Trevornoah;;"788182724150497280";https://twitter.com/paaaaaayyy/status/788182724150497280
